Design,YYYY,MM,DD.dddddddddd,Accuracy,HH,MM_2,SS.sss,Accuracy_2,RMS,F,Bias,Resid,sDD,MM_3,SS.ss,Accuracy_3,RMS_2,F_2,Bias_2,Resid_2
99942,2004,03,15.10789,1.000E-05,04,06,08.080,1.435E-01,0.612,F,-0.247,0.251,+16,55,04.60,1.000E-01,0.612,F,0.140,-0.070
99942,2004,03,15.11039,1.000E-05,04,06,08.580,1.435E-01,0.612,F,-0.247,-0.932,+16,55,06.10,1.000E-01,0.612,F,0.140,-0.350
99942,2004,03,15.12365,1.000E-05,04,06,11.750,1.435E-01,0.612,F,-0.247,0.205,+16,55,15.50,1.000E-01,0.612,F,0.140,-0.380
99942,2004,03,15.12628,1.000E-05,04,06,12.400,1.435E-01,0.612,F,-0.247,0.731,+16,55,17.70,1.000E-01,0.612,F,0.140,-0.049
99942,2004,03,15.13723,1.000E-05,04,06,14.900,1.435E-01,0.612,F,-0.247,-0.055,+16,55,25.40,1.000E-01,0.612,F,0.140,-0.122
99942,2004,03,15.13998,1.000E-05,04,06,15.580,1.435E-01,0.612,F,-0.247,0.492,+16,55,27.10,1.000E-01,0.612,F,0.140,-0.373
99942,2004,06,19.170150,1.000E-06,09,44,29.677,1.460E-02,1.000,F,0.069,0.005,+13,18,50.67,1.000E-02,1.000,F,0.017,0.071
99942,2004,06,19.17015,1.000E-05,09,44,29.658,1.460E-02  99,9.000,F,-0.112,-0.091,+13,18,50.95,1.000E-02  99,9.000,F,0.262,0.106
99942,2004,06,19.174861,1.000E-06,09,44,30.604,1.460E-02,1.000,F,0.069,0.287,+13,18,46.81,1.000E-02,1.000,F,0.017,0.069
99942,2004,06,19.179676,1.000E-06,09,44,31.507,1.460E-02,1.000,F,0.069,-0.079,+13,18,42.91,1.000E-02,1.000,F,0.017,0.112
99942,2004,06,20.159514,1.000E-06,09,47,41.116,1.461E-02,1.000,F,0.066,0.345,+13,05,24.49,1.000E-02,1.000,F,0.040,-0.107
99942,2004,06,20.164317,1.000E-06,09,47,42.006,1.461E-02,1.000,F,0.066,-0.150,+13,05,20.50,1.000E-02,1.000,F,0.040,-0.119
99942,2004,06,20.169063,1.000E-06,09,47,42.926,1.461E-02,1.000,F,0.066,-0.053,+13,05,16.74,1.000E-02,1.000,F,0.040,0.054
99942,2004,12,18.42318,1.000E-05,23,12,07.070,1.204E-01,1.299,F,0.022,-0.179,-36,37,10.20,1.000E-01,1.299,F,0.009,0.818
99942,2004,12,18.43083,1.000E-05,23,12,13.220,1.204E-01,1.299,F,0.022,1.069,-36,36,52.60,1.000E-01,1.299,F,0.009,-0.127
99942,2004,12,18.43846,1.000E-05,23,12,19.160,1.204E-01,1.299,F,0.022,-0.136,-36,36,34.00,1.000E-01,1.299,F,0.009,-0.120
99942,2004,12,18.44610,1.000E-05,23,12,25.190,1.204E-01,1.299,F,0.022,-0.475,-36,36,14.70,1.000E-01,1.299,F,0.009,0.469
99942,2004,12,18.45550,1.000E-05,23,12,32.700,1.204E-01,1.299,F,0.022,0.027,-36,35,52.10,1.000E-01,1.299,F,0.009,-0.076
99942,2004,12,18.45631,1.000E-05,23,12,33.340,1.204E-01,1.299,F,0.022,-0.025,-36,35,50.20,1.000E-01,1.299,F,0.009,-0.177
99942,2004,12,18.45713,1.000E-05,23,12,33.990,1.204E-01,1.299,F,0.022,-0.054,-36,35,48.00,1.000E-01,1.299,F,0.009,-0.003
99942,2004,12,18.45793,1.000E-05,23,12,34.640,1.204E-01,1.299,F,0.022,0.107,-36,35,45.60,1.000E-01,1.299,F,0.009,0.420
99942,2004,12,18.49052,1.000E-05,23,13,00.720,1.205E-01,1.299,F,0.009,0.555,-36,34,24.50,1.000E-01,1.299,F,-0.023,0.257
99942,2004,12,18.49133,1.000E-05,23,13,01.340,1.205E-01,1.299,F,0.009,0.191,-36,34,22.10,1.000E-01,1.299,F,-0.023,0.620
99942,2004,12,18.49214,1.000E-05,23,13,02.020,1.205E-01,1.299,F,0.009,0.549,-36,34,20.70,1.000E-01,1.299,F,-0.023,-0.018
99942,2004,12,18.49295,1.000E-05,23,13,02.610,1.205E-01,1.299,F,0.009,-0.179,-36,34,18.60,1.000E-01,1.299,F,-0.023,0.044
99942,2004,12,19.07902,1.000E-05,23,21,05.630,1.210E-01,1.118,F,-0.093,-0.516,-36,12,57.60,1.000E-01,1.118,F,0.041,-0.924
99942,2004,12,19.08384,1.000E-05,23,21,09.300,1.210E-01,1.118,F,-0.093,-1.382,-36,12,42.90,1.000E-01,1.118,F,0.041,1.515
99942,2004,12,19.08868,1.000E-05,23,21,13.230,1.210E-01,1.118,F,-0.093,0.693,-36,12,31.50,1.000E-01,1.118,F,0.041,0.555
99942,2004,12,19.09354,1.000E-05,23,21,16.880,1.210E-01,1.118,F,-0.093,-0.828,-36,12,20.10,1.000E-01,1.118,F,0.041,-0.503
99942,2004,12,19.09850,1.000E-05,23,21,20.790,1.210E-01,1.118,F,-0.093,-0.166,-36,12,07.10,1.000E-01,1.118,F,0.041,-0.266
99942,2004,12,19.45943,1.000E-05,23,26,11.180,1.215E-01,1.000,F,-0.252,0.284,-35,54,52.00,1.000E-01,1.000,F,-0.019,-0.034
99942,2004,12,19.46059,1.000E-05,23,26,12.100,1.215E-01,1.000,F,-0.252,0.186,-35,54,48.70,1.000E-01,1.000,F,-0.019,-0.014
99942,2004,12,19.46140,1.000E-05,23,26,12.730,1.215E-01,1.000,F,-0.252,-0.035,-35,54,46.60,1.000E-01,1.000,F,-0.019,-0.204
99942,2004,12,19.46464,1.000E-05,23,26,15.340,1.215E-01,1.000,F,-0.252,0.158,-35,54,37.20,1.000E-01,1.000,F,-0.019,0.029
99942,2004,12,20.06921,1.000E-05,23,34,27.460,1.221E-01,0.300,F,-0.260,-0.688,-35,29,30.20,1.000E-01,0.300,F,-0.019,-0.487
99942,2004,12,20.07691,1.000E-05,23,34,33.360,1.221E-01,0.300,F,-0.260,-0.415,-35,29,07.90,1.000E-01,0.300,F,-0.019,0.072
99942,2004,12,20.08287,1.000E-05,23,34,37.900,1.221E-01,0.300,F,-0.260,-0.534,-35,28,51.30,1.000E-01,0.300,F,-0.019,-0.238
99942,2004,12,20.09000,1.000E-05,23,34,43.370,1.222E-01,0.300,F,-0.260,-0.213,-35,28,30.60,1.000E-01,0.300,F,-0.019,0.137
99942,2004,12,22.472674,1.000E-06,00,05,38.680,1.253E-01,0.750,F,-0.026,0.226,-33,20,43.40,1.000E-01,0.750,F,0.023,0.181
99942,2004,12,22.473044,1.000E-06,00,05,38.950,1.253E-01,0.750,F,-0.026,0.223,-33,20,42.20,1.000E-01,0.750,F,0.023,0.005
99942,2004,12,22.473404,1.000E-06,00,05,39.140,1.253E-01,0.750,F,-0.026,-0.691,-33,20,41.10,1.000E-01,0.750,F,0.023,-0.234
99942,2004,12,22.473754,1.000E-06,00,05,39.500,1.253E-01,0.750,F,-0.026,0.617,-33,20,39.40,1.000E-01,0.750,F,0.023,0.164
99942,2004,12,23.06407,1.000E-05,00,13,05.410,1.261E-01,1.414,F,-0.220,-2.621,-32,46,52.90,1.000E-01,1.414,F,0.223,2.205
99942,2004,12,23.06412,1.000E-05,00,13,05.630,1.261E-01,1.414,F,-0.220,-0.290,-32,46,54.10,1.000E-01,1.414,F,0.223,0.821
99942,2004,12,23.09138,1.000E-05,00,13,24.670,1.262E-01,1.414,F,-0.220,-2.348,-32,45,13.50,1.000E-01,1.414,F,0.223,0.313
99942,2004,12,23.09276,1.000E-05,00,13,25.790,1.262E-01,1.414,F,-0.220,-0.489,-32,45,09.40,1.000E-01,1.414,F,0.223,-0.741
99942,2004,12,23.10519,1.000E-05,00,13,34.510,1.262E-01,1.414,F,-0.220,-1.047,-32,44,20.70,1.000E-01,1.414,F,0.223,1.386
99942,2004,12,23.10762,1.000E-05,00,13,36.280,1.262E-01,1.414,F,-0.220,-0.344,-32,44,13.30,1.000E-01,1.414,F,0.223,-0.350
99942,2004,12,23.11882,1.000E-05,00,13,44.090,1.262E-01,1.414,F,-0.220,-1.556,-32,43,30.10,1.000E-01,1.414,F,0.223,0.609
99942,2004,12,23.12169,1.000E-05,00,13,46.170,1.262E-01,1.414,F,-0.220,-0.891,-32,43,20.20,1.000E-01,1.414,F,0.223,-0.349
99942,2004,12,23.44269,1.000E-05,00,17,41.600,1.267E-01,1.677,F,-0.010,0.514,-32,22,03.60,1.000E-01,1.677,F,-0.006,-0.109
99942,2004,12,23.44304,1.000E-05,00,17,41.760,1.267E-01,1.677,F,-0.010,-0.569,-32,22,01.90,1.000E-01,1.677,F,-0.006,0.225
99942,2004,12,23.44338,1.000E-05,00,17,42.050,1.267E-01,1.677,F,-0.010,0.084,-32,22,00.50,1.000E-01,1.677,F,-0.006,0.298
99942,2004,12,23.44373,1.000E-05,00,17,42.300,1.267E-01,1.677,F,-0.010,0.141,-32,21,59.60,1.000E-01,1.677,F,-0.006,-0.168
99942,2004,12,23.44440,1.000E-05,00,17,42.750,1.267E-01,1.677,F,-0.010,-0.113,-32,21,56.80,1.000E-01,1.677,F,-0.006,0.016
99942,2004,12,23.44474,1.000E-05,00,17,43.010,1.267E-01,1.677,F,-0.010,0.159,-32,21,55.30,1.000E-01,1.677,F,-0.006,0.188
99942,2004,12,23.44509,1.000E-05,00,17,43.270,1.267E-01,1.677,F,-0.010,0.341,-32,21,54.20,1.000E-01,1.677,F,-0.006,-0.079
99942,2004,12,23.44544,1.000E-05,00,17,43.500,1.267E-01,1.677,F,-0.010,0.144,-32,21,52.60,1.000E-01,1.677,F,-0.006,0.154
99942,2004,12,23.48399,1.000E-05,00,18,10.630,1.268E-01,1.677,F,-0.010,-0.127,-32,19,20.80,1.000E-01,1.677,F,-0.006,0.305
99942,2004,12,23.48434,1.000E-05,00,18,10.940,1.268E-01,1.677,F,-0.010,0.665,-32,19,20.20,1.000E-01,1.677,F,-0.006,-0.481
99942,2004,12,23.48470,1.000E-05,00,18,11.150,1.268E-01,1.677,F,-0.010,0.099,-32,19,17.90,1.000E-01,1.677,F,-0.006,0.394
99942,2004,12,23.48505,1.000E-05,00,18,11.370,1.268E-01,1.677,F,-0.010,-0.250,-32,19,16.80,1.000E-01,1.677,F,-0.006,0.108
99942,2004,12,23.48934,1.000E-05,00,18,14.430,1.268E-01,1.677,F,-0.010,0.053,-32,18,59.60,1.000E-01,1.677,F,-0.006,0.305
99942,2004,12,23.48969,1.000E-05,00,18,14.660,1.268E-01,1.677,F,-0.010,-0.173,-32,18,58.00,1.000E-01,1.677,F,-0.006,0.517
99942,2004,12,23.49003,1.000E-05,00,18,14.950,1.268E-01,1.677,F,-0.010,0.451,-32,18,57.60,1.000E-01,1.677,F,-0.006,-0.431
99942,2004,12,23.49038,1.000E-05,00,18,15.160,1.268E-01,1.677,F,-0.010,-0.029,-32,18,56.10,1.000E-01,1.677,F,-0.006,-0.320
99942,2004,12,23.53207,1.000E-05,00,18,44.870,1.268E-01,1.677,F,-0.010,0.332,-32,16,09.70,1.000E-01,1.677,F,-0.006,-0.218
99942,2004,12,23.53242,1.000E-05,00,18,45.080,1.268E-01,1.677,F,-0.010,-0.182,-32,16,07.80,1.000E-01,1.677,F,-0.006,0.279
99942,2004,12,23.53277,1.000E-05,00,18,45.340,1.268E-01,1.677,F,-0.010,-0.063,-32,16,07.10,1.000E-01,1.677,F,-0.006,-0.424
99942,2004,12,23.53314,1.000E-05,00,18,45.670,1.268E-01,1.677,F,-0.010,0.762,-32,16,05.60,1.000E-01,1.677,F,-0.006,-0.407
99942,2004,12,24.07659,1.000E-05,00,25,23.840,1.276E-01,1.000,F,-0.345,-0.309,-31,43,12.70,1.000E-01,1.000,F,0.111,-0.418
99942,2004,12,24.07977,1.000E-05,00,25,26.080,1.276E-01,1.000,F,-0.345,0.748,-31,43,00.10,1.000E-01,1.000,F,0.111,-0.210
99942,2004,12,24.11017,1.000E-05,00,25,46.710,1.276E-01,1.131,F,-0.228,-0.522,-31,41,02.60,1.000E-01,1.131,F,0.425,-0.308
99942,2004,12,24.11751,1.000E-05,00,25,51.710,1.277E-01,1.131,F,-0.228,-0.410,-31,40,33.30,1.000E-01,1.131,F,0.425,-0.036
99942,2004,12,24.12486,1.000E-05,00,25,56.710,1.277E-01,1.131,F,-0.228,-0.414,-31,40,04.20,1.000E-01,1.131,F,0.425,-0.092
99942,2004,12,24.13220,1.000E-05,00,26,01.700,1.277E-01,1.131,F,-0.228,-0.494,-31,39,35.40,1.000E-01,1.131,F,0.425,-0.496
99942,2004,12,24.14981,1.000E-05,00,26,13.820,1.277E-01,1.131,F,-0.228,1.020,-31,38,26.20,1.000E-01,1.131,F,0.425,-1.708
99942,2004,12,24.15260,1.000E-05,00,26,15.530,1.277E-01,1.131,F,-0.228,-1.453,-31,38,12.60,1.000E-01,1.131,F,0.425,0.693
99942,2004,12,24.15539,1.000E-05,00,26,17.510,1.277E-01,1.131,F,-0.228,-0.486,-31,38,02.80,1.000E-01,1.131,F,0.425,-0.718
99942,2004,12,24.15819,1.000E-05,00,26,19.410,1.277E-01,1.131,F,-0.228,-0.637,-31,37,50.60,1.000E-01,1.131,F,0.425,0.219
99942,2004,12,24.75058,1.000E-05,00,33,20.811,1.286E-02,1.000,F,-0.213,0.372,-30,58,58.19,1.000E-02,1.000,F,0.483,-0.136
99942,2004,12,24.75872,1.000E-05,00,33,26.197,1.286E-02,1.000,F,-0.213,0.139,-30,58,25.32,1.000E-02,1.000,F,0.483,0.135
99942,2004,12,24.76625,1.000E-05,00,33,31.205,1.286E-02,1.000,F,-0.213,0.270,-30,57,55.28,1.000E-02,1.000,F,0.483,-0.074
99942,2004,12,25.06596,1.000E-05,00,36,58.970,1.291E-01,1.000,F,-0.309,-0.910,-30,37,42.50,1.000E-01,1.000,F,0.352,0.195
99942,2004,12,25.07141,1.000E-05,00,37,02.540,1.291E-01,1.000,F,-0.309,-0.732,-30,37,20.20,1.000E-01,1.000,F,0.352,0.296
99942,2004,12,25.07510,1.000E-05,00,37,05.590,1.291E-01,2.179,F,-0.281,0.221,-30,37,05.10,1.000E-01,2.179,F,0.210,0.147
99942,2004,12,25.07746,1.000E-05,00,37,07.120,1.291E-01,2.179,F,-0.281,0.110,-30,36,55.60,1.000E-01,2.179,F,0.210,0.059
99942,2004,12,25.07783,1.000E-05,00,37,06.760,1.291E-01,1.000,F,-0.309,-0.331,-30,36,54.30,1.000E-01,1.000,F,0.352,-0.018
99942,2004,12,25.07928,1.000E-05,00,37,08.270,1.291E-01,2.179,F,-0.281,-0.361,-30,36,49.20,1.000E-01,2.179,F,0.210,-0.942
99942,2004,12,25.08111,1.000E-05,00,37,09.450,1.291E-01,2.179,F,-0.281,-0.527,-30,36,40.60,1.000E-01,2.179,F,0.210,0.211
99942,2004,12,25.08299,1.000E-05,00,37,10.730,1.291E-01,2.179,F,-0.281,0.177,-30,36,33.30,1.000E-01,2.179,F,0.210,-0.145
99942,2004,12,25.08480,1.000E-05,00,37,11.930,1.291E-01,2.179,F,-0.281,0.438,-30,36,26.40,1.000E-01,2.179,F,0.210,-0.621
99942,2004,12,25.08745,1.000E-05,00,37,13.600,1.291E-01,2.179,F,-0.281,-0.301,-30,36,15.00,1.000E-01,2.179,F,0.210,-0.031
99942,2004,12,25.09175,1.000E-05,00,37,16.430,1.291E-01,2.179,F,-0.281,0.052,-30,35,57.50,1.000E-01,2.179,F,0.210,-0.096
99942,2004,12,25.10048,1.000E-05,00,37,22.070,1.291E-01,2.179,F,-0.281,-0.594,-30,35,22.00,1.000E-01,2.179,F,0.210,-0.352
99942,2004,12,25.10417,1.000E-05,00,37,24.510,1.291E-01,2.179,F,-0.281,-0.146,-30,35,07.00,1.000E-01,2.179,F,0.210,-0.503
99942,2004,12,25.10812,1.000E-05,00,37,27.100,1.291E-01,2.179,F,-0.281,0.047,-30,34,50.30,1.000E-01,2.179,F,0.210,-0.047
99942,2004,12,25.11469,1.000E-05,00,37,31.330,1.291E-01,2.179,F,-0.281,-0.649,-30,34,22.70,1.000E-01,2.179,F,0.210,0.479
99942,2004,12,25.11955,1.000E-05,00,37,34.490,1.292E-01,2.179,F,-0.281,-0.776,-30,34,03.30,1.000E-01,2.179,F,0.210,-0.193
99942,2004,12,25.12160,1.000E-05,00,37,35.880,1.292E-01,2.179,F,-0.281,-0.096,-30,33,55.10,1.000E-01,2.179,F,0.210,-0.471
99942,2004,12,25.12552,1.000E-05,00,37,38.480,1.292E-01,2.179,F,-0.281,0.450,-30,33,38.50,1.000E-01,2.179,F,0.210,-0.102
99942,2004,12,25.12798,1.000E-05,00,37,40.070,1.292E-01,2.179,F,-0.281,0.251,-30,33,28.40,1.000E-01,2.179,F,0.210,-0.199
99942,2004,12,25.12987,1.000E-05,00,37,41.290,1.292E-01,2.179,F,-0.281,0.074,-30,33,20.00,1.000E-01,2.179,F,0.210,0.359
99942,2004,12,25.13450,1.000E-05,00,37,44.260,1.292E-01,2.179,F,-0.281,-0.611,-30,33,02.10,1.000E-01,2.179,F,0.210,-0.974
99942,2004,12,25.13829,1.000E-05,00,37,46.830,1.292E-01,2.179,F,-0.281,0.610,-30,32,45.80,1.000E-01,2.179,F,0.210,-0.442
99942,2004,12,25.18418,1.000E-05,00,38,16.550,1.293E-01,1.000,F,-0.015,0.048,-30,29,31.10,1.000E-01,1.000,F,-0.000,0.099
99942,2004,12,25.18641,1.000E-05,00,38,18.020,1.293E-01,1.000,F,-0.015,0.035,-30,29,21.70,1.000E-01,1.000,F,-0.000,0.036
99942,2004,12,25.18909,1.000E-05,00,38,19.780,1.293E-01,1.000,F,-0.015,-0.079,-30,29,10.30,1.000E-01,1.000,F,-0.000,0.055
99942,2004,12,26.00134,1.000E-05,00,47,32.860,1.305E-01,1.323,F,0.016,-0.622,-29,33,26.10,1.000E-01,1.323,F,0.059,0.751
99942,2004,12,26.00461,1.000E-05,00,47,34.970,1.305E-01,1.323,F,0.016,0.020,-29,33,12.20,1.000E-01,1.323,F,0.059,1.096
99942,2004,12,26.01803,1.000E-05,00,47,43.380,1.305E-01,1.323,F,0.016,-0.506,-29,32,17.80,1.000E-01,1.323,F,0.059,-0.296
99942,2004,12,26.02625,1.000E-05,00,47,48.570,1.305E-01,1.323,F,0.016,-0.263,-29,31,43.10,1.000E-01,1.323,F,0.059,0.100
99942,2004,12,26.03827,1.000E-05,00,47,56.210,1.305E-01,1.323,F,0.016,0.816,-29,30,52.80,1.000E-01,1.323,F,0.059,0.061
99942,2004,12,26.04647,1.000E-05,00,48,01.350,1.305E-01,1.323,F,0.016,0.639,-29,30,17.80,1.000E-01,1.323,F,0.059,0.598
99942,2004,12,26.04857,1.000E-05,00,48,03.520,1.306E-01,1.936,F,-0.205,-0.455,-29,30,05.80,1.000E-01,1.936,F,0.391,-0.415
99942,2004,12,26.05109,1.000E-05,00,48,05.270,1.306E-01,1.000,F,0.016,-0.017,-29,29,54.70,1.000E-01,1.000,F,0.059,0.039
99942,2004,12,26.05327,1.000E-05,00,48,06.480,1.306E-01,1.936,F,-0.205,-0.206,-29,29,46.00,1.000E-01,1.936,F,0.391,-0.249
99942,2004,12,26.05415,1.000E-05,00,48,07.010,1.306E-01,1.936,F,-0.205,-0.474,-29,29,41.30,1.000E-01,1.936,F,0.391,0.771
99942,2004,12,26.05426,1.000E-05,00,48,06.180,1.306E-01,1.323,F,0.016,-0.210,-29,29,45.60,1.000E-01,1.323,F,0.059,-0.032
99942,2004,12,26.05506,1.000E-05,00,48,07.740,1.306E-01,1.000,F,0.016,-0.189,-29,29,38.00,1.000E-01,1.000,F,0.059,0.161
99942,2004,12,26.05557,1.000E-05,00,48,07.970,1.306E-01,1.936,F,-0.205,0.462,-29,29,35.40,1.000E-01,1.936,F,0.391,0.730
99942,2004,12,26.05698,1.000E-05,00,48,08.820,1.306E-01,1.936,F,-0.205,0.045,-29,29,30.00,1.000E-01,1.936,F,0.391,0.228
99942,2004,12,26.05772,1.000E-05,00,48,09.270,1.306E-01,1.936,F,-0.205,-0.123,-29,29,27.20,1.000E-01,1.936,F,0.391,-0.070
99942,2004,12,26.05899,1.000E-05,00,48,10.200,1.306E-01,1.000,F,0.016,-0.156,-29,29,21.80,1.000E-01,1.000,F,0.059,-0.075
99942,2004,12,26.06287,1.000E-05,00,48,12.620,1.306E-01,1.000,F,0.016,-0.230,-29,29,05.60,1.000E-01,1.000,F,0.059,-0.125
99942,2004,12,26.06821,1.000E-05,00,48,15.830,1.306E-01,1.936,F,-0.205,-0.115,-29,28,43.10,1.000E-01,1.936,F,0.391,0.011
99942,2004,12,26.07657,1.000E-05,00,48,21.630,1.306E-01,2.550,F,-0.173,0.080,-29,28,07.80,1.000E-01,2.550,F,0.167,-0.107
99942,2004,12,26.07883,1.000E-05,00,48,23.030,1.306E-01,2.550,F,-0.173,-0.072,-29,27,58.60,1.000E-01,2.550,F,0.167,-0.392
99942,2004,12,26.07928,1.000E-05,00,48,22.720,1.306E-01,1.936,F,-0.205,-0.504,-29,27,55.80,1.000E-01,1.936,F,0.391,0.673
99942,2004,12,26.08194,1.000E-05,00,48,24.900,1.306E-01,2.550,F,-0.173,-1.016,-29,27,44.90,1.000E-01,2.550,F,0.167,0.242
99942,2004,12,26.08532,1.000E-05,00,48,27.090,1.306E-01,2.550,F,-0.287,0.135,-29,27,30.80,1.000E-01,2.550,F,0.154,0.139
99942,2004,12,26.08588,1.000E-05,00,48,26.890,1.306E-01,1.936,F,-0.195,0.071,-29,27,28.90,1.000E-01,1.936,F,0.373,-0.306
99942,2004,12,26.08724,1.000E-05,00,48,28.260,1.306E-01,2.550,F,-0.287,-0.242,-29,27,23.10,1.000E-01,2.550,F,0.154,-0.245
99942,2004,12,26.08970,1.000E-05,00,48,29.900,1.306E-01,2.550,F,-0.287,1.116,-29,27,13.20,1.000E-01,2.550,F,0.154,-0.711
99942,2004,12,26.09078,1.000E-05,00,48,29.870,1.306E-01,1.936,F,-0.195,-1.011,-29,27,07.10,1.000E-01,1.936,F,0.373,0.739
